LOOKUP_VALUE,LOOKUP_RESULT
25-DC-57318-01C02-P,FPSO-CL-TS-DC-01
25-DC-57319-01C02-P,FPSO-CL-TS-DC-01
25-DC-57320-01C02-P,FPSO-CL-TS-DC-01
25-DC-57321-01C02-P,FPSO-CL-TS-DC-01
25-DH-56142-01C02,FPSO-CL-TS-DH-01
25-DH-56143-01C02,FPSO-CL-TS-DH-01
25-DH-58451-01S01,FPSO-CL-TS-DH-02
25-DO-62007-15S01,FPSO-CL-TS-DO-02
25-DO-62008-15S01,FPSO-CL-TS-DO-02
25-FG-45033-03C02,FPSO-CL-TS-FG-04
25-FG-45034-03C02,FPSO-CL-TS-FG-04
25-FG-45039-03C02,FPSO-CL-TS-FG-04
25-FG-45040-03C02,FPSO-CL-TS-FG-04
25-FG-45450-01C02-E,FPSO-CL-TS-FG-02
25-FG-45455-01C02-E,FPSO-CL-TS-FG-02
25-GN-67300-01E01,FPSO-CL-TS-GN-01
25-GN-67301-01E01,FPSO-CL-TS-GN-01
25-OH-65803-1CS,FPSO-CL-MA-OH-01
25-OH-65804-1CS,FPSO-CL-MA-OH-01
25-OH-65805-1CS,FPSO-CL-MA-OH-01
25-OH-65806-1CS,FPSO-CL-MA-OH-01
25-OH-65807-1CS,FPSO-CL-MA-OH-01
25-OH-65808-1CS,FPSO-CL-MA-OH-01
25-OH-65809-1CS,FPSO-CL-MA-OH-01
25-OH-65810-1CS,FPSO-CL-MA-OH-01
25-OH-65811-1CS,FPSO-CL-MA-OH-01
25-OH-65812-1CS,FPSO-CL-MA-OH-01
25-OH-65813-1CS,FPSO-CL-MA-OH-01
25-OH-65814-1CS,FPSO-CL-MA-OH-01
25-OH-65815-1CS,FPSO-CL-MA-OH-01
25-OH-65816-1CS,FPSO-CL-MA-OH-01
25-OH-65817-1CS,FPSO-CL-MA-OH-01
25-OH-65818-1CS,FPSO-CL-MA-OH-01
25-OH-65819-1CS,FPSO-CL-MA-OH-01
25-OH-65820-1CS,FPSO-CL-MA-OH-01
25-PG-23300-25C02,FPSO-CL-TS-PG-08
25-PW-44026-01C02,FPSO-CL-TS-FH-01
25-PW-44028-01C02,FPSO-CL-TS-FH-01
25-VA-23054-01C02,FPSO-CL-TS-VA-01
25-VA-XXXXX-01S01,FPSO-CL-TS-VA-02
25-WD-53018-01E01-C,FPSO-CL-TS-WD-02
25-WD-53019-01E01-C,FPSO-CL-TS-WD-02
25-WD-53020-01E01-C,FPSO-CL-TS-WD-02
25-WD-53021-01E01-C,FPSO-CL-TS-WD-02
25-WD-53022-01E01-C,FPSO-CL-TS-WD-02
25-WD-53023-01E01-C,FPSO-CL-TS-WD-02
25-WD-53024-01E01-C,FPSO-CL-TS-WD-02
25-WD-53854-1SS-CC,FPSO-CL-TS-WD-04
25-WF-71349-01K01,FPSO-CL-TS-WF-01
25-WF-71357-01K01,FPSO-CL-TS-WF-01
25-WZ-53815-1SS-CC,FPSO-CL-TS-WD-04
25-WZ-53817-1SS-CC,FPSO-CL-TS-WD-04
25-WZ-53819-1SS-CC,FPSO-CL-TS-WD-04
250-DC-57064-01C02,FPSO-CL-TS-DC-01
250-DC-57065-01C02,FPSO-CL-TS-DC-01
250-FH-43302-01C02,FPSO-CL-TS-FH-01
250-FH-43303-01C02,FPSO-CL-TS-FH-01
250-FL-43014-01C02,FPSO-CL-TS-FL-01
250-FL-43170-01C02,FPSO-CL-TS-FL-01
250-OC-33812-1LC,FPSO-CL-MA-OC-03
250-OC-33813-1LC,FPSO-CL-MA-OC-03
250-OC-33864-1LC,FPSO-CL-MA-OC-03
250-OC-33865-1LC,FPSO-CL-MA-OC-03
250-OC-33869-XXX,FPSO-CL-MA-OC-03
250-OC-33874-XXX,FPSO-CL-MA-OC-03
250-OC-33876-XXX,FPSO-CL-MA-OC-03
250-OC-33883-XXX,FPSO-CL-MA-OC-03
250-OC-33886-XXX,FPSO-CL-MA-OC-03
250-OC-33889-XXX,FPSO-CL-MA-OC-03
250-OC-33891-XXX,FPSO-CL-MA-OC-03
250-OC-33895-XXX,FPSO-CL-MA-OC-03
250-OC-33896-XXX,FPSO-CL-MA-OC-03
250-OC-33900-XXX,FPSO-CL-MA-OC-03
250-OC-33901-XXX,FPSO-CL-MA-OC-03
250-OC-33909-XXX,FPSO-CL-MA-OC-03
250-OC-33915-XXX,FPSO-CL-MA-OC-03
250-OC-33918-XXX,FPSO-CL-MA-OC-03
250-OC-33920-XXX,FPSO-CL-MA-OC-03
250-OC-33922-XXX,FPSO-CL-MA-OC-03
250-PG-20036-01C03-P,FPSO-CL-TS-PG-01
250-PG-20042-01D01-P,FPSO-CL-TS-PG-02
250-PG-20062-01C03-P,FPSO-CL-TS-PG-01
250-PG-23003-06C02-PA,FPSO-CL-TS-PG-05
250-PG-23004-06C03-A,FPSO-CL-TS-PG-03
250-PG-23005-06C03,FPSO-CL-TS-PG-01
250-PG-23005-06C03-A,FPSO-CL-TS-PG-03
250-PG-23015-06C03-A,FPSO-CL-TS-PG-03
250-PG-23016-06C03-A,FPSO-CL-TS-PG-03
250-PG-23017-03C03-A,FPSO-CL-TS-PG-03
250-PG-23039-06D01,FPSO-CL-TS-PG-02
250-PG-23401-01D03-PA,FPSO-CL-TS-RP-01
250-PL-13L9000-DD20-P-50,FPSO-CL-TS-PF-04
250-PL-13L9001-BD20X-P-50,FPSO-CL-TS-PF-04
250-PL-13L9002-DD20-P-50,FPSO-CL-TS-PF-04
250-PL-13L9003-BD20X-P-50,FPSO-CL-TS-PF-04
250-PL-20006-01C02-P,FPSO-CL-TS-PL-01
250-PL-20007-01C02-P,FPSO-CL-TS-PL-01
250-PL-43310-01C02,FPSO-CL-TS-DC-01
250-PW-20022-01C03-P,FPSO-CL-TS-PW-02
250-PW-20023-01C03-P,FPSO-CL-TS-PW-02
250-PW-20039-01C03-P,FPSO-CL-TS-PW-02
250-PW-20040-03C03-P,FPSO-CL-TS-PW-02
250-PW-20041-03C03-P,FPSO-CL-TS-PW-02
250-PW-44004-01C02,FPSO-CL-TS-PW-01
250-PW-44004-01X01,FPSO-CL-TS-PW-03
250-PW-44006-01X01,FPSO-CL-TS-PW-03
250-PW-44007-01X01,FPSO-CL-TS-PW-03
250-PW-44010-01C03-P,FPSO-CL-TS-PG-01
250-PW-44023-01C03-P,FPSO-CL-TS-PG-01
250-PW-44029-01C02,FPSO-CL-TS-PW-01
